benchmark,codegen-1,cpu-native,lto-fat,lto-thin,opt-s,perf-ultra,size-s-lto,size-s-native,size-s-strip,size-ultra,size-z-lto,size-z-native,size-z-strip,standard-release
ackermann,5.91,5.97,5.96,5.94,5.97,6.00,5.84,5.00,5.93,3.78,3.84,3.81,3.41,5.95
btreemap-ops,12.57,11.58,10.95,10.44,12.44,12.46,15.45,12.82,13.29,14.46,14.27,10.90,12.57,14.82
fibonacci,2.68,2.24,2.25,2.24,2.68,2.24,2.23,2.22,2.25,2.15,2.16,2.15,2.16,2.25
file-io,0.48,1.71,1.07,1.54,1.62,0.87,0.56,0.22,1.53,1.61,1.03,1.99,0.94,0.75
hashmap-ops,8.12,7.90,8.78,7.96,6.66,4.46,7.22,6.98,6.43,2.80,3.16,2.86,2.86,8.56
json-parse,11.05,11.15,11.88,11.39,5.82,11.85,9.39,9.13,8.23,6.71,6.39,6.89,6.16,10.03
matrix-mult,21.47,22.50,22.19,22.09,22.64,22.31,21.91,21.32,22.36,12.53,12.37,12.33,11.63,22.29
prime-sieve,21.43,23.28,25.22,25.15,20.15,25.81,19.38,17.43,21.28,14.97,15.77,14.74,12.58,24.59
quicksort,48.86,38.39,51.33,48.13,39.97,40.37,40.97,34.00,32.36,26.47,26.32,26.94,21.02,41.45
string-parse,8.28,8.85,10.95,9.79,3.11,11.04,9.42,9.37,8.13,8.44,8.03,2.98,2.91,8.46
